 Is Child Table,Es una tabla secundaria,
%  Delivered,% Entregado,
% Amount Billed,% importe facturado,
% Billed,% Facturado,
% Complete Method,% Método completado,
% Completed,% Completado,
% Installed,% Instalado,
% Ordered,% Ordenado,
% Picked,% Seleccionado,
% Process Loss,% Pérdida por Proceso,
% Progress,% Progreso,
% Received,% Recibido,
% Returned,% Devuelto,
% of materials billed against this Sales Order,% de materiales facturados contra esta orden de venta,
% of materials delivered against this Sales Order,% de materiales entregados para esta orden de venta,
(Hour Rate / 60) * Actual Operation Time,(Tarifa por hora / 60) * Tiempo real de la operación,
(including),(incluso),
* Will be calculated in the transaction.,* Será calculado en la transacción.,
1 Loyalty Points = How much base currency?,1 Puntos de lealtad = ¿Cuánta moneda base?,
1 hr,1 hora,
2 Yearly,2 años,
3 Yearly,3 Anual,
30 mins,30 minutos,
6 hrs,6 horas,
"<br>
<h4>Note</h4>
<ul>
<li>
You can use <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank"">Jinja tags</a> in <b>Subject</b> and <b>Body</b> fields for dynamic values.
</li><li>
    All fields in this doctype are available under the <b>doc</b> object and all fields for the customer to whom the mail will go to is available under the  <b>customer</b> object.
</li></ul>
<h4> Examples</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Subject</b>:<br><br><pre><code>Statement Of Accounts for {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Body</b>: <br><br>
<pre><code>Hello {{ customer.customer_name }},<br>PFA your Statement Of Accounts from {{ doc.from_date }} to {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->","<br>
<h4>Nota</h4>
<ul>
<li>
Puede usar las etiquetas Jinja <a href=""https://jinja.palletsprojects.com/en/2.11.x/"" target=""_blank""></a> en los campos <b>Asunto</b> y <b>Cuerpo</b> para valores dinámicos.
</li><li>
    Todos los campos de este doctype están disponibles en el objeto <b>doc</b> y todos los campos del cliente al que se enviará el correo están disponibles en el objeto  <b>customer</b> .
</li></ul>
<h4> Ejemplos</h4>
<!-- {% raw %} -->
<ul>
    <li><b>Asunto</b>:<br><br><pre><code>Estado de Cuentas para {{ customer.customer_name }}</code></pre><br></li>
    <li><b>Cuerpo</b>: <br><br>
<pre><code>Hola {{ customer.customer_name }},<br>PFA tu Estado de Cuenta del {{ doc.from_date }} al {{ doc.to_date }}.</code> </pre></li>
</ul>
<!-- {% endraw %} -->",
"<div class=""columnHeading"">Other Details</div>","<div class=""columnHeading"">Otros detalles</div>",
"<div class=""text-muted text-center"">No Matching Bank Transactions Found</div>","<div class=""text-muted text-center"">No se han encontrado transacciones bancarias coincidentes</div>",
"<div>
<h3> All dimensions in centimeter only </h3>
</div>","<div>
<h3> Todas las dimensiones solo en centímetros </h3>
</div>",
